infer_style,model,checkpoint,score,precisions,brevity_penalty,length_ratio,translation_length,reference_length
gen,mul-eng,431000,0.474924545634181,0.7430621353006136 0.5331332515043559 0.41372485484337096 0.32647161231100374,0.9874614078251843,0.9875393629652574,153037,154968
gen,mul-eng,231000,0.46711925730012843,0.7367469958117506 0.5244171192505659 0.404397179233989 0.31839754180302854,0.9890870307251379,0.9891461463011718,153286,154968
gen,mul-eng,50000,0.40028249280369194,0.6789187311877749 0.4533180458477572 0.33320186907874993 0.2503445580400304,1.0,1.0033297196840638,155484,154968
gen,mul-eng,250000,0.47471958757129445,0.7373306215508978 0.5284188999948134 0.4096279178459222 0.3230313117653178,0.9962502791661612,0.9962572918279903,154388,154968
gen,mul-eng,8000,0.02684979430850659,0.26318915677644905 0.0383916315013473 0.01313700328425082 0.003915281410851405,1.0,1.1407129213773166,176774,154968
gen,mul-eng,579000,0.4854176203854129,0.7481454417339223 0.5422799336550962 0.4241928999667896 0.3372275372843716,0.9889891755434209,0.9890493521243096,153271,154968
gen,mul-eng,45000,0.389448296823232,0.6698611182288731 0.442394222960367 0.3225789944991685 0.24064061813313165,1.0,1.0073305456610397,156104,154968
gen,mul-eng,352000,0.47144756788925457,0.7429008515695273 0.5318478048193134 0.41202912090817745 0.32541547491201395,0.9826804465061776,0.9828287130246245,152307,154968
gen,mul-eng,367000,0.4704222686086531,0.7419344275179126 0.5302976864949235 0.40984917030490964 0.32240778590869135,0.9851654271505993,0.985274379226679,152686,154968
gen,mul-eng,157000,0.46036814078888394,0.7273628809582453 0.5151827491342682 0.3953202290506181 0.30866241772890113,0.9955634672769887,0.9955732796448299,154282,154968
gen,mul-eng,373000,0.47299452064965636,0.742529502577387 0.5320174156756068 0.4121155246055482 0.3248105359955184,0.9863565846693876,0.9864488152392752,152868,154968
gen,mul-eng,351000,0.47134090240631904,0.7429002921960668 0.5318506811168812 0.4119492974631102 0.3252868551740272,0.9826016671058311,0.9827512776831345,152295,154968
gen,mul-eng,479000,0.47624239421795234,0.7458618225680628 0.5359230156703075 0.41626646964659525 0.3294550622573871,0.9842285359965035,0.984351608073925,152543,154968
gen,mul-eng,271000,0.47553428259032793,0.7421784397274018 0.5320190062732637 0.4126678123119063 0.32618557567102113,0.9903908619020204,0.9904367353260027,153486,154968
gen,mul-eng,573000,0.48501306695143404,0.7491751115641192 0.5423794770478799 0.4241869669532933 0.3375424604932802,0.9875528776177035,0.9876297041969955,153051,154968
gen,mul-eng,437000,0.47773622087425166,0.7443008746812078 0.5353280353728489 0.41581632653061223 0.32827310504444795,0.9892631461878942,0.989320375819524,153313,154968
gen,mul-eng,388000,0.47688275839724964,0.7424254265989318 0.5334899153711367 0.4141998936272245 0.3272005961314428,0.9907426079433963,0.9907851943627072,153540,154968
gen,mul-eng,517000,0.4691843933876207,0.7430070619797214 0.5305788612738114 0.4103309106002667 0.3231936731931403,0.9812023174709594,0.9813768003716896,152082,154968
gen,mul-eng,82000,0.43843255748557175,0.716385911179173 0.495635305528613 0.37485820986684815 0.2887770751486376,0.9901888782383447,0.990236694027154,153455,154968
gen,mul-eng,152000,0.45884380666511576,0.7239550701141333 0.5120906391716029 0.3923945848064154 0.3058791851782811,0.9990380487980148,0.999038511176501,154819,154968
gen,mul-eng,403000,0.47743009000590075,0.7450631653283812 0.5358146014815702 0.4163810558978989 0.32966116016730745,0.9867751209622706,0.9868618037272211,152932,154968
gen,mul-eng,177000,0.46809817893687006,0.7349671420036884 0.5233073990681499 0.4036926711073671 0.31712972634217673,0.9937080256394459,0.9937277373393216,153996,154968
gen,mul-eng,146000,0.46056761714670114,0.727597196491728 0.5152756885730587 0.3953206554198513 0.308270911360799,0.996185505658782,0.9961927623767487,154378,154968
gen,mul-eng,485000,0.4788224614272633,0.7463905650745448 0.5374112424926332 0.4184826012549914 0.33148575176119655,0.9858724365998857,0.9859712973000878,152794,154968
gen,mul-eng,74000,0.4358327547345297,0.710894830844097 0.48995980963236546 0.36933689479007287 0.2836561931965723,0.9971825543704105,0.9971865159258686,154532,154968
gen,mul-eng,15000,0.17867645892043674,0.4766526355776949 0.21790868310324443 0.12782946422109825 0.07676475072419577,1.0,1.0531787207681587,163209,154968
gen,mul-eng,315000,0.46952057468608727,0.7368170463661682 0.5268338586087917 0.40735887625137585 0.3208087013232912,0.9893283663514916,0.9893849052707656,153323,154968
gen,mul-eng,36000,0.367468708627447,0.652488166815914 0.41963992257970273 0.3010783804716957 0.2211833559346228,1.0,1.0088534407103402,156340,154968
gen,mul-eng,311000,0.4680598393382997,0.7375735005880047 0.5266434691510458 0.40655453502727407 0.3194624642680084,0.9876116752643854,0.9876877807031129,153060,154968
