func,layer_idx,I,S,T,F,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,1.0000000000000002,,,,,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,1,0.5319577379375714,0.4803111558705815,0.27974368223772933,0.5416061564734034,0.18707812512228364,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,2,0.3316132714174556,0.6255056803520787,0.3812866130206,0.48485793417132456,0.2584719622451378,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,3,0.17833444429551099,0.6872445522826586,0.2805994899042368,0.439987061851592,0.3129034549730424,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,4,0.10129441876232356,0.6722001421649834,0.20437438827877613,0.27858557886751806,0.30578849937288055,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,5,0.043259726217211594,0.7038094310141093,-0.161325501275246,0.04076241827233538,0.5400498396905958,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,6,0.14668002312146664,0.7083043961483365,0.24497681792298828,0.44636304768856494,0.23453964922234996,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,0,0.0,19.08467349909672,19.08467349909672,19.08467349909672,19.08467349909672,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,1,11.477154020367838,11.889533439772789,13.231124486887127,11.480328474338364,13.95946723555034,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,2,13.402744085034579,11.030538232227851,13.13638055045191,12.52213671484655,14.03744505251606,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,3,15.486079924675545,11.409631093903347,15.1584900599262,14.20021698630665,15.722667700368834,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,4,16.052625365279148,11.894053753332711,16.26712470873598,16.88039993119424,17.069619198860245,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,5,18.034465264860305,12.798100338557923,21.384759894117664,21.75878533046448,18.14755923005994,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,6,41.31508047246063,29.506346229766333,40.42604253616052,37.42762102926131,42.42737150316407,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,0,1.0,0.0,0.0,0.0,0.0,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,1,0.5878839043667855,0.4377056561314389,0.3337712980605693,0.5023411970442669,0.4891335627008236,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,2,0.330710111166418,0.5527380505506808,0.39045140656839783,0.5495686665541019,0.4226586206335492,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,3,0.1893880741901598,0.5934081967691917,0.4059077851303778,0.58332123263361,0.5561046170597232,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,4,0.11789950487240383,0.6994587459210428,0.46055386109502866,0.6819663975671623,0.725780277986782,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,5,0.07083638143195778,0.6894584622570576,0.48072232375203383,0.6921317497289888,1.06138690538944,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,6,0.05240605899331362,0.7771521314189488,0.31462218389772517,0.529890747507589,0.5444532834928744,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
