func,layer_idx,S,T,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,,1.0000000000000002,,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,1,0.4279093843313197,0.6712911793288302,-0.2576448662421607,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,2,0.41819056387983,0.37060627539385743,-0.20401466472051055,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,3,0.5517144552667368,0.3149345739309162,-0.3126160339550086,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,4,0.4902040835019688,0.3791377327196307,-0.39869678612247816,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,5,0.382926072244486,0.667649236103146,-0.6708267006585052,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,6,0.7070292455926956,0.3566308140703732,-0.3648622725784719,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,0,18.801040541962617,0.0,18.801040541962617,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,1,11.386082550645314,14.655387219273345,20.73145155289503,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,2,11.217242931715907,31.796574029868733,31.720999762220178,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,3,12.622080006062445,40.88742634011406,40.62269782556309,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,4,17.246637843746157,60.40784720984115,60.809079721253376,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,5,24.246514618911537,102.47027963957454,111.83043884912725,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,6,34.300992535117345,131.26237280028687,142.88619744659147,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,0,0.0,1.0,0.0,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,1,0.5388416464929562,1.5335062664971806,1.0605601907961402,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,2,0.9395860675135556,3.0556613718944807,2.477358901517691,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,3,1.267167180439614,3.598660232043372,2.9663114738376417,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,4,1.4579849252515136,4.770888988104809,4.0249507861309555,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,5,1.1357050623466376,5.5068154559654765,4.640201267023657,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,6,1.262387236542477,3.634423993104265,3.2370680136188636,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
spim,0,0.0,1.0000000000000002,0.0,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
spim,1,0.24317233405103827,1.0453100967330868,-0.28848243078412544,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
spim,2,0.3872395364680457,1.2898321854318708,-0.6770717218999162,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
spim,3,0.6998475861027997,1.3614512225483744,-1.0612988086511737,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
spim,4,0.7172853403776395,1.928148960543543,-1.6454343009211823,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
spim,5,0.4126062307331546,3.719300460712621,-3.1319066914457756,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
spim,6,0.887244571441093,1.2929997620541132,-1.1802443334952062,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,0,,1.0,,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
cosine,1,0.34135293144829226,0.6759176695133055,-0.23890938922911595,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
cosine,2,0.3730568257520007,0.3478688505854553,-0.06391837264247766,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
cosine,3,0.5222166012307442,0.2816319595304467,-0.2071531444189316,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
cosine,4,0.45192122177478955,0.43234752912454205,-0.41854737818153176,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
cosine,5,0.3750208892086796,0.6567504117883292,-0.6436532719816471,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
cosine,6,0.7258180846864895,0.4366912924349018,-0.4386338076853112,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
l2,0,18.917980636678273,0.0,18.917980636678273,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
l2,1,11.903611161381267,15.20809278867294,20.476077661737797,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
l2,2,12.812584175992624,28.144765863252793,27.173356934740386,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
l2,3,13.617104644109498,31.617705692212052,32.61934958765961,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
l2,4,16.939989758527187,44.037227409536385,48.97077045572042,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
l2,5,23.162804375288292,72.86247460118891,82.73593827916115,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
l2,6,30.766863707258448,99.99494956957724,116.25653793142467,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
norm_ratio,0,0.0,1.0,0.0,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
norm_ratio,1,0.4761982752315624,1.600604460270531,1.0656598536950386,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
norm_ratio,2,0.9625585267507765,2.4577541338918167,1.962232854400735,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
norm_ratio,3,1.2172629092215137,2.3981381955529164,2.0164123042098874,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
norm_ratio,4,1.3690414883452395,3.4518513275379727,2.9143559971695416,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
norm_ratio,5,1.1185471561367035,4.086458834317662,3.2990502822428462,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
norm_ratio,6,1.139185212827853,2.824194218137699,2.4043570919896995,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
spim,0,0.0,1.0,0.0,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
spim,1,0.17791537262055537,1.1016660159119607,-0.27958138853251613,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
spim,2,0.3404819389945776,1.1206771026870164,-0.4611590416815945,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
spim,3,0.6533069374976332,0.9505258732774607,-0.6038328107750941,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
spim,4,0.6343351833386386,1.7184471528496756,-1.3527823361883144,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
spim,5,0.3965691892967261,2.8212390505399516,-2.217808239836678,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
spim,6,0.8211666839787093,1.2338400370063511,-1.0550067209850602,rus-eng,146000,Том ждал три часа.,Tom waited for three hours.,Tom waited three hours.,0.9687
cosine,0,,1.0,,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
cosine,1,0.5795310807800572,0.7782984592496214,-0.4517466384630674,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
cosine,2,0.6034433413338519,0.5922800924619542,-0.5097684733642187,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
cosine,3,0.7747838650303742,0.6362382593977142,-0.6236054701786364,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
cosine,4,0.7819898600511234,0.7211963204572802,-0.7110682965699058,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
cosine,5,0.8638344967414845,0.8331065206920961,-0.8257924170937465,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
cosine,6,0.8578670012148377,0.45859489503795975,-0.44855072017565306,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
l2,0,18.923425377326463,0.0,18.923425377326463,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
l2,1,9.189645417287899,10.991267300576622,20.881805206271,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
l2,2,7.474039051832281,24.867380347768375,33.67819209113282,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
l2,3,6.186384663039195,27.14803034150457,36.817823835663596,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
l2,4,6.562582048533777,43.26897975440456,55.265291801583295,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
l2,5,12.106047609707192,109.32396521174819,142.5071530094929,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
l2,6,25.515286644372416,119.32709756955482,161.40144973635722,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
norm_ratio,0,0.0,1.0,0.0,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
norm_ratio,1,0.5741012539709108,1.5156186852729798,1.1822250024534526,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
norm_ratio,2,0.9523862522916131,3.2885089198856075,3.21768675789245,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
norm_ratio,3,1.0601771988298225,3.599392241872451,3.4852934160610722,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
norm_ratio,4,1.1358404899604235,5.589783581013092,5.5572390690459645,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
norm_ratio,5,1.0570204524279672,6.135616381052384,6.099048276635115,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
norm_ratio,6,1.242745862422754,3.335398901231578,3.538606784358999,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
spim,0,0.0,1.0,0.0,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
spim,1,0.3383317961358414,1.1874241071446547,-0.5257559032804963,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
spim,2,0.6273684226569405,2.0275906097023038,-1.6549590323592431,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
spim,3,0.8474891252698177,2.342753429445962,-2.1902425547157796,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
spim,4,0.9152091740150085,4.01902345338501,-3.934232627400018,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
spim,5,0.9264638291017128,5.087498984957636,-5.013962814059348,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
spim,6,1.065478778030237,1.5274528018341775,-1.5929315798644144,rus-eng,146000,"Том спросил меня, где я выучил французский.",Tom asked me where I learned French.,He asked me where I learned French.,0.9503
cosine,0,,1.0000000000000002,,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
cosine,1,0.4193029936782589,0.6985076984349354,-0.25941774301682985,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
cosine,2,0.4222070372184785,0.3983497614430033,-0.20052113102306016,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
cosine,3,0.5210256049907348,0.3356133500912948,-0.28628223053257834,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
cosine,4,0.46668399198339033,0.44721212652596665,-0.44479416910139924,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
cosine,5,0.45055207225904303,0.6783858061528225,-0.6628302639155472,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
cosine,6,0.8091379124835346,0.39546895592008136,-0.39897366465351924,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
l2,0,18.896108551535903,0.0,18.896108551535903,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
l2,1,11.2394216094046,13.189156585219122,19.902311049470402,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
l2,2,11.403875100031826,26.159417866578863,28.663334250991014,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
l2,3,12.27935172393722,30.40047391293266,33.53584476522604,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
l2,4,15.441280787389314,42.77456900716074,49.392860956879396,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
l2,5,20.118037454023,72.74379814775942,87.69372964103444,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
l2,6,26.91082279809079,86.02786467532692,107.93700420451654,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
norm_ratio,0,0.0,1.0,0.0,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
norm_ratio,1,0.5635177321514387,1.44179514511331,1.0203855273505698,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
norm_ratio,2,0.9828075769226196,2.5009450865020457,2.1336240033393206,rus-eng,146000,Надвигается шторм.,A storm is brewing.,A storm is coming.,0.9199
