func,layer_idx,I,S,T,F,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,1.0,,,,,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,1,0.5858938252497617,0.2480211415471219,0.41820711386179205,0.6186149665153086,-0.0036253362352169534,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,2,0.309731377800315,0.3462417199205222,0.6788840454505335,0.7251617081410106,0.03089872678023839,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,3,0.17576449948667683,0.4784257764468216,0.6096247882330427,0.7583089040074351,0.08952369606092822,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,4,0.07804120159003414,0.499581457829851,0.5989885157001582,0.8221782897079656,0.16147660411439219,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,5,0.061996226924836584,0.6532890861057927,0.6374547559426731,0.8167381584952694,0.21350026926648244,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,6,0.07850294472044088,0.770230855109138,0.6737024930982461,0.8402895354476968,0.1867198482157671,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,0,0.0,18.823861319443946,18.823861319443946,18.823861319443946,18.823861319443946,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,1,18.064824525134526,20.781451378436,19.633775255371155,16.78659540263302,23.605906702015243,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,2,21.066187201364084,20.652923793092,16.922911386204966,15.244368854046982,22.45982384915206,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,3,21.6021095712026,19.224834620701994,17.98177842191091,14.299848143273655,21.82150377450245,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,4,21.9022701855999,19.134824614991743,18.327030552148447,12.805991278100597,21.727067315698633,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,5,22.185923785176243,17.441666313536956,18.32196553711972,13.893584293473978,21.966416197897168,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
