func,layer_idx,S,T,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,,1.0000000000000002,,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,1,0.4497947045662221,0.6407824954314474,-0.10996989832927694,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,2,0.6007480044627328,0.2636904829787331,-0.06077242186069551,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,3,0.5751095641570423,0.20129017275200015,-0.11716623131188349,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,4,0.5352958008179639,0.18493968218559076,-0.12858616926437388,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,5,0.3329931010689528,0.2958572015861349,-0.22893777476237218,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
cosine,6,0.3936240813383435,0.0814827018458928,-0.1047130511062777,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,0,19.08467349909672,0.0,19.08467349909672,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,1,12.48531606874583,14.407300689677434,17.91491757432785,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,2,13.65999486381849,23.1938509457684,22.544948007500125,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,3,19.396203178818784,33.39848296101225,29.1119085348328,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,4,21.122744814243013,35.06312475398873,29.35029092669695,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,5,31.222354067698184,54.58681686203368,39.758991205171235,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
l2,6,93.60576302488509,193.48719149231704,119.27353637622583,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,0,0.0,1.0,0.0,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,1,0.8132200249164376,1.3490149234522275,0.7964422298460635,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,2,1.2859504301131923,1.6678568571998373,1.2480056345165773,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,3,1.5953958240981865,2.1877786980214347,1.5020681025679976,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,4,1.756603007823658,2.462729633277503,1.5720066459831188,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,5,1.9295514815411348,3.4745002846969277,1.8985496918416769,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
norm_ratio,6,2.456598188834613,4.65761877763149,2.592336070815086,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
spim,0,0.0,1.0000000000000002,0.0,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
spim,1,0.30645129874290683,0.8529200832173732,-0.15937138196028014,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
spim,2,0.5234467252293594,0.712274784106334,-0.23572150933569302,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
spim,3,0.42506355647873656,1.037099556501866,-0.462163112980602,ine-eng,182000,Ей не нравится новая работа.,She doesn't like her new job.,She doesn't like a new job.,0.9337
