func,layer_idx,I,S,T,F,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,1.0,,,,,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,1,0.5349065758994739,0.24862341760216092,0.40867169385295093,0.6379029635334964,-0.00968254023878715,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,2,0.2729261550312727,0.366950942530979,0.6134389349079991,0.7267627931392927,0.007438800802296183,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,3,0.11806303911980043,0.5046595264169974,0.6270381364971581,0.7834339901569334,0.0970932974760073,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,4,0.03318205435416525,0.5371189362452772,0.6850833356941165,0.7804746884940784,0.2294981483282128,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,5,0.008514130886917177,0.6693713872342145,0.619890488015762,0.7348195325319259,0.24133172851951276,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,6,-0.0006133394889207162,0.8225885219721311,0.5388939712661918,0.8211175139266153,0.17788349503936426,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,0,0.0,19.05399688182857,19.05399688182857,19.05399688182857,19.05399688182857,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,1,19.034214500270593,20.857571052665232,19.739423436372853,16.344135049704047,23.743506513269534,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,2,20.97346931782433,20.039551726430705,17.74365332194899,14.475687568475848,22.053393383739717,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,3,21.86453546939127,18.89810726271425,18.0684363321925,13.598737721824607,21.786603439496645,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,4,21.769783234201167,18.36201428594272,17.114323914774932,13.965490558357885,21.4527624264,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,5,22.218284341980066,16.720480896330475,18.384352772122515,15.648340771048359,21.894273689900086,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,6,28.810805422522137,18.162100740462634,25.733290086956334,19.032431643364585,28.451312310920688,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,0,1.0,0.0,0.0,0.0,0.0,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,1,0.7946802318902165,0.3420579610199399,0.2991543435452532,0.5650111972701594,0.4594834385733609,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,2,0.4171932619514269,0.4167086817229207,0.3964424418410215,0.6512747272119911,0.22648279887436895,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,3,0.2094021551812072,0.4251978792526812,0.3776211644958127,0.6401327741721465,0.10608190554875542,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,4,0.0992113234769338,0.4379446447005853,0.41309879343308703,0.589297458747217,0.06136219691926642,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,5,0.04691363956233089,0.5445753706534529,0.36458921408756684,0.5344935715454868,0.06589165927416511,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,6,0.01476340681668665,0.5495289843690553,0.24195112932147853,0.4876581027173403,0.09383812703382406,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
spim,0,1.0,0.0,0.0,0.0,0.0,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
