func,layer_idx,I,S,T,F,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,1.0000000000000002,,,,,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,1,0.6026138119713708,0.4144178804992756,0.4397347705258085,0.2573392353675576,0.17688988753291965,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,2,0.4394670185264255,0.6022458668196069,0.4117820726806448,0.31273749713746063,0.19652904568937357,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,3,0.29925906201660435,0.6965328842835412,0.4263257339340152,0.2667776903749774,0.31412214010425243,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,4,0.13150545972357677,0.7467898522828246,0.30178066052311675,0.14494155249606855,0.45088614153443,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,5,0.012098364576631689,0.7575499154270506,0.17802321081880115,0.18411188154966743,0.4863968620602399,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,6,0.12500210138488038,0.6953935232044433,0.43049544416834845,0.40554973021038454,0.23793640028898097,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,0,0.0,19.157715517623913,19.157715517623913,19.157715517623913,19.157715517623913,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,1,11.474620063053907,13.12609708817604,13.124106256888956,14.030279829621522,14.953010973501447,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,2,12.993115662856514,11.500548014541007,13.32421590113105,13.997565409043789,14.856897352191218,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,3,15.619146396796868,11.639776173441716,14.795356000714328,16.17376171538358,15.97906412339985,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,4,15.99661073877968,10.712523210203447,15.566630822466609,17.20009878198297,15.20389817747409,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,5,18.318253440871246,12.183156821205104,18.482027632748938,19.12561998014269,16.72939788773585,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,6,33.857284826070014,24.561149246452484,30.84236518499631,31.3017194522912,34.99204593095821,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,0,1.0,0.0,0.0,0.0,0.0,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,1,0.6953963265263498,0.390534023049177,0.41303622574581217,0.41019800970918946,0.491331217015417,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,2,0.4522374182756611,0.5296489367429764,0.41371215363595853,0.4948502272795723,0.47828792416231775,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,3,0.29773606750600234,0.5850065238587804,0.4125075912709164,0.49075129195954525,0.4898097170198621,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,4,0.18472799219380412,0.5649404340258323,0.37754264356348144,0.5691403539072794,0.7177362086405146,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,5,0.11280684552630156,0.5956635371533872,0.4061476826933507,0.5621820701105179,0.7381687476451606,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,6,0.08716856952587766,0.6693336745696541,0.4230060788772992,0.5041174086753515,0.5637094425298194,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,0,1.0000000000000002,0.0,0.0,0.0,0.0,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,1,0.4280677512294975,0.16533224419290063,0.17940286524313345,0.1361725378134725,0.09102460152099572,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,2,0.21022627388763587,0.3284383264653648,0.17276437939040465,0.18620663596257367,0.10236438429402096,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,3,0.0961188272589255,0.4171650520650554,0.18089828390795729,0.15254098342300534,0.15327685334505625,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,4,0.027423389131412613,0.4363082040657982,0.11013011499818672,0.1018851288511636,0.3242531629534389,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,5,0.0022461530369839184,0.45349983002613037,0.07391560466471196,0.1107333025952261,0.3596051096769474,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,6,0.01208981311701191,0.4661673066980827,0.1822896436066581,0.2054665731287673,0.13398666344947976,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,0,1.0000000000000002,,,,,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,1,0.5594765533713768,0.42535939588538696,0.45142761608102533,0.29751268622863236,0.13129708082401054,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,2,0.3883156551792271,0.6360097311883184,0.4307759961683846,0.35214424448305487,0.15786997504218475,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,3,0.2500933428704809,0.7153038545945662,0.46072181242456944,0.3375382481469033,0.28829313306670257,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,4,0.09994271125986733,0.7397748974859907,0.3425366624270793,0.21732125267626828,0.37351301159631295,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,5,0.03269949491664791,0.7359053886535076,0.2377031727611057,0.24747499803668543,0.38561603336879585,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,6,0.09029153826430568,0.6783547244358209,0.46391147362829266,0.43182303914443765,0.1634166042339493,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,0,0.0,19.01691353358851,19.01691353358851,19.01691353358851,19.01691353358851,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,1,11.53079594460365,12.56655477801701,12.648703730566014,13.31387064246143,14.810100143137326,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,2,13.067729698546488,10.857174451014972,12.93919872416281,13.46627726283006,14.772223047874661,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,3,15.7770499513504,11.296749958565961,14.45661533595716,15.536873022798451,15.994363104995497,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,4,16.071344222647273,10.756912017152631,15.335071388100797,16.955490941679823,16.17331672154609,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
