func,layer_idx,I,S,T,F,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,1.0000000000000002,,,,,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,1,0.5422168935705688,0.4323162660401598,0.4155615380164787,0.44997237829116166,0.12114816798476372,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,2,0.3306619670221679,0.6022290760698591,0.44431472245313725,0.4518963172984586,0.1367500356504773,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,3,0.12866123489531164,0.6308520454069121,0.4233884011314765,0.6578216013643732,0.23172389261999804,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,4,0.06339982415107578,0.6049634614866377,0.5408053052691244,0.5161115326645482,0.42241487077501116,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,5,-0.0020178716957592754,0.6806291911472727,0.27226339742152933,0.20307239657327408,0.6689916400332969,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
cosine,6,0.04012829420259486,0.7506908017044808,0.40818229698406244,0.5848852676081795,0.05008857536393719,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,0,0.0,18.801040541962617,18.801040541962617,18.801040541962617,18.801040541962617,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,1,10.737765088710695,11.538875554213826,11.83324253205864,11.457861253484749,13.723573883587251,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,2,10.919881084629726,9.12642907321212,10.4296521174496,10.624422407227474,12.077687202709717,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,3,12.368683300902015,9.607222691692705,11.408013186014209,9.482949834618344,12.258276112173757,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,4,13.88587972852553,11.174321499141117,12.0926460984347,11.989570028754656,12.801282498053096,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,5,20.820412007275106,15.731443029833839,20.060069507933786,20.985753166394836,15.692190955585126,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
l2,6,38.42051989284129,25.41555123805928,35.49311034264041,31.208068200879765,39.95186101942977,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,0,1.0,0.0,0.0,0.0,0.0,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,1,0.6701191388163493,0.4134080233782675,0.2947069017244213,0.5056105659317526,0.5022537390364938,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,2,0.36605134771851916,0.526899612130824,0.3879164954389571,0.6176655409359223,0.4266296759108965,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,3,0.15002423878893736,0.526455999024786,0.30295825493113515,0.6501083078376642,0.3413861796600874,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,4,0.0715524215969082,0.44888054886174383,0.3431239529133858,0.5938589645614466,0.5371507818148091,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,5,0.03422709204901549,0.4942297223798296,0.2634644772015284,0.43173692471192177,0.7668114431020963,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
norm_ratio,6,0.021857222750818788,0.7222219286666248,0.27245031662890906,0.561483443042459,0.3368202458005605,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
spim,0,1.0000000000000002,0.0,0.0,0.0,0.0,rus-eng,146000,Я собирался отремонтировать машину.,I was going to repair the car.,I was going to repair the car.,0.9742
