func,layer_idx,S,T,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,,1.0,,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,1,0.1653331251225979,0.8777216559751972,0.3158681477318902,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,2,0.11237767707349963,0.7992897094336764,0.4425549152656658,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,3,0.26714543707901256,0.6760725321872572,0.29858551036303016,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,4,0.39605807594025794,0.47607876136219834,0.3597355191617022,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,5,0.5779981582456554,0.41410882136709876,0.3173422772624512,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
cosine,6,0.8093311662025693,0.4061837895288397,0.08704390672142452,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,0,18.823861319443946,0.0,18.823861319443946,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,1,21.56982830939242,10.441177588338485,20.098624987331664,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,2,24.39033498389682,14.84413438474807,19.265219404757875,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,3,24.49268565404659,20.76489172905813,21.549051775692945,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
l2,4,24.252131081126436,27.309099884340732,21.88612458370867,sla-eng,13000,Я не раз имел проблемы с законом.,I've had my share of run-ins with the law.,I didn't have any problems with the law.,0.6984
