func,layer_idx,S,T,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,,1.0000000000000002,,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,1,0.1810484523487557,0.6590659283564889,-0.18073588262647095,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,2,0.396380949975991,0.3353810791072553,-0.00030487544303857796,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,3,0.4745333919977849,0.22190899169743938,-0.01937960608393396,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,4,0.23201645388569617,0.39687130287413813,-0.19150037624462835,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,5,0.08691610380386307,0.3831990736907749,-0.25342057211526087,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,6,0.10504590387737961,0.23213350542933917,-0.1495400616162663,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,0,19.157715517623913,0.0,19.157715517623913,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,1,15.298183935296537,18.288247985160268,20.540832739613133,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,2,17.590766654729233,34.56221419189557,27.525986953471794,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,3,22.379785884851316,46.49311190930851,35.13069998076661,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,4,32.65396019236871,61.98221296289014,45.596341867943835,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,5,42.007870819704834,85.52480471323567,61.10170501522948,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
l2,6,86.89587459027662,195.40172649311899,131.52618802770715,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,0,0.0,1.0,0.0,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,1,0.6146976345198958,1.6771720547915416,0.8622355408522424,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,2,1.2872177275213659,2.7523632040073434,1.7470937283568035,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,3,1.6865536052407015,3.28140499038864,2.0846950810271085,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,4,2.2382595884983756,4.806925641832028,2.812961286859871,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,5,2.330525526793798,5.4621295050828556,3.2137183981231248,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
norm_ratio,6,2.449788774645209,5.904342465327438,3.588414117746872,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,0,0.0,1.0000000000000002,0.0,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,1,0.09087831181415891,1.1087855931873074,-0.19966390500146639,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,2,0.09170071079765987,1.3629083906727175,-0.4546091014703775,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,3,0.08066660509746672,1.5707436998385,-0.6514103049359667,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,4,-0.5944373003621961,3.0406868913523764,-1.4462495909901791,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,5,-0.49996242670600993,2.875348806915772,-1.3753863802097614,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
spim,6,0.06672477138318846,1.6525628412249715,-0.7192876126081599,mul-eng,111000,Том не хотел признаваться в собственном невежестве.,Tom didn't want to admit his own ignorance.,Tom didn't want to confess in his own ignorance.,0.8858
cosine,0,,1.0000000000000002,,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,1,0.14004371032966814,0.6268626068764291,-0.23343667544151492,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,2,0.3212539001836151,0.3440869956574813,-0.1097479397988798,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,3,0.46972136928560926,0.2691584353079868,-0.13899968382726755,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,4,0.2503745026509169,0.37861909772496094,-0.2496184897197679,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,5,0.04679877923867394,0.42555291974862286,-0.34164795149412736,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
cosine,6,0.026629072729431696,0.33272050021205324,-0.27285987762926345,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,0,19.01691353358851,0.0,19.01691353358851,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,1,15.519575343211255,20.40530851745526,21.188865165645684,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,2,21.182138581158405,43.29895830719244,32.697623360985,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,3,24.005136222568662,49.75406024798661,37.82270153538077,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,4,36.44793237717438,69.67318132496446,49.32607162128739,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,5,49.41777660135472,99.07658989388304,68.51378742823304,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
l2,6,96.51707634313598,211.6044984308351,144.33463664664345,mul-eng,111000,"Я никогда не видел, чтобы Том кому-нибудь помогал.",I've never seen Tom help anybody.,I've never seen Tom help anyone.,0.9646
